sku,orders_cnt,units_sold,gross_sales,units_returned,returns_value,ad_spend_sp,ad_sales_sp,ad_orders_sp,ad_units_sp,wasted_spend_sp,unit_cost,referral_fee,fba_cost,storage_oct_dec,storage_cos_jan_sep,estimated_fee_total,net_units,net_sales,unit_cost_total,unit_fees_total,referral_fee_total,fba_fee_total,gross_profit,ad_spend_total,net_profit,acos,tacos,net_margin
UB0101,505,524,9253.65,8.0,119.92,645.0100000000001,4716.4800000000005,296.0,298.0,4.3,4.5,0.1500750375187594,4.43,0.04,0.01,7.16,516.0,9133.73,2322.0,3694.56,1388.741870935468,2285.8799999999997,-557.451870935467,645.0100000000001,-1202.4618709354672,0.13675664902639256,0.07061846584035221,-0.1316506915504911
UDC101,309,376,7803.28,6.0,89.94,574.4450000000002,1199.66,70.0,82.0,0.52,4.5,0.15010006671114076,3.92,0.04,0.01,6.41,370.0,7713.34,1665.0,2371.7000000000003,1171.2728485657105,1450.3999999999999,1054.96715143429,574.4450000000002,480.52215143428975,0.4788398379540871,0.07447422258062009,0.062297545736903825
USP102,250,264,5193.04,6.0,107.94,548.6400000000001,2558.7500000000005,139.0,146.0,3.83,4.5,0.1500833796553641,3.92,0.04,0.01,6.86,258.0,5085.1,1161.0,1769.88,779.388993885492,1011.36,363.4710061145088,548.6400000000001,-185.16899388549132,0.2144171958964338,0.10789168354604631,-0.03641403195325388
USP103,218,244,4408.81,3.0,44.97,945.6600000000002,2748.0,170.0,188.0,3.91,4.5,0.15010006671114076,3.25,0.04,0.01,6.17,241.0,4363.84,1084.5,1486.97,661.7626751167446,783.25,347.3573248832554,945.6600000000002,-598.3026751167448,0.3441266375545852,0.21670363716359908,-0.13710463149811744
UBW101,137,154,3134.2299999999996,5.0,84.94999999999999,441.86000000000007,758.26,43.0,46.0,12.29,4.5,0.15008828722778106,4.16,0.04,0.01,6.98,149.0,3049.2799999999997,670.5,1040.02,470.4112124779282,619.84,248.50878752207154,441.86000000000007,-193.35121247792853,0.5827288792762378,0.14490633854549273,-0.06340880879352782
UBL101,111,116,2078.96,3.0,50.97,212.28,376.78,22.0,22.0,36.540000000000006,4.5,0.15008828722778106,4.43,0.04,0.01,6.98,113.0,2027.99,508.5,788.74,312.0275456150677,500.59,-81.86754561506791,212.28,-294.1475456150679,0.5634057009395403,0.10467507236228976,-0.14504388365577142
USP101,42,46,1167.34,3.0,53.97,348.96000000000004,656.62,31.0,38.0,27.740000000000002,4.5,0.1500833796553641,4.16,0.04,0.01,6.62,43.0,1113.37,193.5,284.66,175.19833240689272,178.88,281.1316675931072,348.96000000000004,-67.82833240689286,0.5314489354573422,0.3134268033088731,-0.0609216454609814
UNKNOWN,1,1,14.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.15008583344157259,4.04,0.04,0.01,,1.0,14.99,4.5,0.0,2.249786643289173,4.04,4.200213356710828,0.0,4.200213356710828,,0.0,0.28020102446369766
UNKNOWN,1,1,14.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.15008583344157259,4.04,0.04,0.01,,1.0,14.99,4.5,0.0,2.249786643289173,4.04,4.200213356710828,0.0,4.200213356710828,,0.0,0.28020102446369766
UNKNOWN,1,1,14.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.15008583344157259,4.04,0.04,0.01,,1.0,14.99,4.5,0.0,2.249786643289173,4.04,4.200213356710828,0.0,4.200213356710828,,0.0,0.28020102446369766
UNKNOWN,1,1,14.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.15008583344157259,4.04,0.04,0.01,,1.0,14.99,4.5,0.0,2.249786643289173,4.04,4.200213356710828,0.0,4.200213356710828,,0.0,0.28020102446369766
UNKNOWN,1,1,14.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.15008583344157259,4.04,0.04,0.01,,1.0,14.99,4.5,0.0,2.249786643289173,4.04,4.200213356710828,0.0,4.200213356710828,,0.0,0.28020102446369766
UNKNOWN,1,1,14.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.15008583344157259,4.04,0.04,0.01,,1.0,14.99,4.5,0.0,2.249786643289173,4.04,4.200213356710828,0.0,4.200213356710828,,0.0,0.28020102446369766
UNKNOWN,1,1,14.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.15008583344157259,4.04,0.04,0.01,,1.0,14.99,4.5,0.0,2.249786643289173,4.04,4.200213356710828,0.0,4.200213356710828,,0.0,0.28020102446369766
UNKNOWN,1,1,14.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.15008583344157259,4.04,0.04,0.01,,1.0,14.99,4.5,0.0,2.249786643289173,4.04,4.200213356710828,0.0,4.200213356710828,,0.0,0.28020102446369766
UNKNOWN,1,1,14.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.15008583344157259,4.04,0.04,0.01,,1.0,14.99,4.5,0.0,2.249786643289173,4.04,4.200213356710828,0.0,4.200213356710828,,0.0,0.28020102446369766
UNKNOWN,1,1,14.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.15008583344157259,4.04,0.04,0.01,,1.0,14.99,4.5,0.0,2.249786643289173,4.04,4.200213356710828,0.0,4.200213356710828,,0.0,0.28020102446369766
UNKNOWN,1,1,14.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.15008583344157259,4.04,0.04,0.01,,1.0,14.99,4.5,0.0,2.249786643289173,4.04,4.200213356710828,0.0,4.200213356710828,,0.0,0.28020102446369766
UNKNOWN,1,1,14.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.15008583344157259,4.04,0.04,0.01,,1.0,14.99,4.5,0.0,2.249786643289173,4.04,4.200213356710828,0.0,4.200213356710828,,0.0,0.28020102446369766
